# Renewables.ninja Solar photovoltaic power (PV) (Point API) - -27.590, 153.028 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Australia/Brisbane, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Australia/Brisbane", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-27.589924616531665", "lon": "153.02816793884142", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "0", "azim": "0", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2022-01-01 00:00,2022-01-01 10:00,0.455,0.100,0.453,23.586
2022-01-01 01:00,2022-01-01 11:00,0.482,0.111,0.479,23.802
2022-01-01 02:00,2022-01-01 12:00,0.481,0.113,0.476,23.906
2022-01-01 03:00,2022-01-01 13:00,0.442,0.097,0.441,23.881
2022-01-01 04:00,2022-01-01 14:00,0.396,0.090,0.389,23.885
2022-01-01 05:00,2022-01-01 15:00,0.364,0.115,0.323,23.893
2022-01-01 06:00,2022-01-01 16:00,0.289,0.123,0.225,23.724
2022-01-01 07:00,2022-01-01 17:00,0.154,0.069,0.121,23.243
2022-01-01 08:00,2022-01-01 18:00,0.012,0.006,0.019,22.044
2022-01-01 09:00,2022-01-01 19:00,0,0,0,21.048
2022-01-01 10:00,2022-01-01 20:00,0,0,0,20.652
2022-01-01 11:00,2022-01-01 21:00,0,0,0,20.345
2022-01-01 12:00,2022-01-01 22:00,0,0,0,20.103
2022-01-01 13:00,2022-01-01 23:00,0,0,0,19.909
2022-01-01 14:00,2022-01-02 00:00,0,0,0,19.723
2022-01-01 15:00,2022-01-02 01:00,0,0,0,19.548
2022-01-01 16:00,2022-01-02 02:00,0,0,0,19.409
