Wavelength (nm),External Quantum Efficiency (%)
301,0.642
302,0.647
303,0.653
304,0.658
305,0.663
306,0.668
307,0.674
308,0.679
309,0.684
310,0.689
311,0.695
312,0.7
313,0.705
314,0.71
315,0.716
316,0.721
317,0.726
318,0.731
319,0.736
320,0.742
321,0.747
322,0.752
323,0.757
324,0.763
325,0.768
326,0.773
327,0.778
328,0.784
329,0.789
330,0.794
331,0.799
332,0.805
333,0.81
334,0.815
335,0.82
336,0.825
337,0.831
338,0.836
339,0.841
340,0.846
341,0.852
342,0.947
343,1.168
344,1.389
345,1.61
346,1.83
347,2.051
348,2.272
349,2.493
350,2.714
351,2.934
352,3.155
353,3.376
354,3.597
355,3.818
356,4.039
357,4.259
358,4.48
359,4.701
360,4.922
361,5.143
362,5.364
363,5.584
364,5.805
365,6.026
366,6.247
367,6.468
368,6.689
369,6.909
370,7.238
371,7.762
372,8.285
373,8.809
374,9.332
375,9.856
376,10.379
377,10.903
378,11.426
379,11.95
380,12.473
381,12.997
382,13.52
383,14.044
384,14.567
385,15.091
386,15.614
387,16.138
388,16.661
389,17.185
390,17.708
391,18.121
392,18.528
393,18.935
394,19.342
395,19.748
396,20.155
397,20.562
398,20.969
399,21.376
400,21.783
401,22.189
402,22.596
403,23.003
404,23.41
405,23.817
406,24.224
407,24.631
408,25.037
409,25.444
410,25.851
411,26.258
412,26.665
413,27.072
414,27.478
415,27.885
416,28.292
417,28.682
418,28.983
419,29.285
420,29.586
421,29.888
422,30.189
423,30.491
424,30.792
425,31.094
426,31.396
427,31.697
428,31.999
429,32.3
430,32.602
431,32.903
432,33.205
433,33.506
434,33.808
435,34.109
436,34.411
437,34.712
438,35.014
439,35.316
440,35.617
441,35.919
442,36.22
443,36.522
444,36.823
445,37.125
446,37.426
447,37.728
448,38.029
449,38.331
450,38.632
451,38.934
452,39.236
453,39.537
454,39.839
455,40.14
456,40.472
457,40.807
458,41.142
459,41.477
460,41.812
461,42.147
462,42.482
463,42.817
464,43.152
465,43.487
466,43.822
467,44.157
468,44.492
469,44.827
470,45.162
471,45.497
472,45.832
473,46.168
474,46.503
475,46.838
476,47.173
477,47.508
478,47.843
479,48.178
480,48.513
481,48.848
482,49.183
483,49.518
484,49.853
485,50.188
486,50.523
487,50.858
488,51.193
489,51.717
490,52.309
491,52.901
492,53.493
493,54.085
494,54.676
495,55.268
496,55.86
497,56.452
498,57.044
499,57.636
500,58.228
501,58.82
502,59.412
503,60.004
504,60.596
505,61.187
506,61.779
507,62.371
508,62.974
509,63.584
510,64.195
511,64.805
512,65.415
513,66.026
514,66.636
515,67.246
516,67.856
517,68.467
518,69.077
519,69.687
520,70.297
521,70.908
522,71.518
523,72.128
524,72.738
525,73.349
526,73.708
527,73.983
528,74.257
529,74.531
530,74.805
531,75.079
532,75.353
533,75.627
534,75.901
535,76.176
536,76.45
537,76.724
538,76.998
539,77.272
540,77.546
541,77.82
542,78.094
543,78.369
544,78.643
545,78.917
546,79.191
547,79.465
548,79.739
549,80.013
550,80.287
551,80.562
552,80.836
553,81.11
554,81.197
555,81.197
556,81.197
557,81.197
558,81.197
559,81.197
560,81.197
561,81.197
562,81.197
563,81.197
564,81.197
565,81.197
566,81.197
567,81.197
568,81.197
569,81.197
570,81.197
571,81.197
572,81.197
573,81.197
574,81.197
575,81.197
576,81.197
577,81.197
578,81.197
579,81.197
580,81.197
581,81.197
582,81.197
583,81.197
584,81.197
585,81.197
586,81.197
587,81.197
588,81.197
589,81.197
590,81.197
591,81.197
592,81.197
593,81.197
594,81.197
595,81.197
596,81.197
597,81.197
598,81.197
599,81.197
600,81.197
601,81.197
602,81.197
603,81.197
604,81.197
605,81.197
606,81.197
607,81.197
608,81.197
609,81.197
610,81.197
611,81.197
612,81.197
613,81.197
614,81.197
615,81.197
616,81.202
617,81.234
618,81.266
619,81.297
620,81.329
621,81.361
622,81.393
623,81.424
624,81.456
625,81.488
626,81.519
627,81.551
628,81.583
629,81.614
630,81.646
631,81.678
632,81.709
633,81.741
634,81.773
635,81.805
636,81.836
637,81.868
638,81.9
639,81.931
640,81.963
641,81.995
642,82.026
643,82.058
644,82.09
645,82.122
646,82.153
647,82.185
648,82.217
649,82.248
650,82.28
651,82.312
652,82.343
653,82.375
654,82.407
655,82.438
656,82.47
657,82.502
658,82.534
659,82.565
660,82.597
661,82.629
662,82.66
663,82.692
664,82.663
665,82.633
666,82.604
667,82.574
668,82.545
669,82.515
670,82.486
671,82.456
672,82.427
673,82.397
674,82.367
675,82.338
676,82.308
677,82.279
678,82.249
679,82.22
680,82.19
681,82.16
682,82.131
683,82.101
684,82.072
685,82.042
686,82.013
687,81.983
688,81.954
689,81.924
690,81.894
691,81.865
692,81.835
693,81.806
694,81.776
695,81.747
696,81.717
697,81.687
698,81.658
699,81.628
700,81.599
701,81.569
702,81.54
703,81.51
704,81.481
705,81.451
706,81.421
707,81.392
708,81.362
709,81.333
710,81.303
711,81.274
712,81.244
713,81.214
714,81.185
715,81.155
716,81.126
717,81.096
718,81.067
719,81.037
720,81.008
721,80.978
722,80.948
723,80.919
724,80.889
725,80.86
726,80.83
727,80.801
728,80.771
729,80.76
730,80.751
731,80.741
732,80.732
733,80.722
734,80.712
735,80.703
736,80.693
737,80.684
738,80.674
739,80.665
740,80.655
741,80.645
742,80.636
743,80.626
744,80.617
745,80.607
746,80.598
747,80.588
748,80.578
749,80.569
750,80.559
751,80.55
752,80.54
753,80.531
754,80.521
755,80.511
756,80.502
757,80.492
758,80.483
759,80.473
760,80.463
761,80.454
762,80.444
763,80.435
764,80.425
765,80.416
766,80.406
767,80.396
768,80.387
769,80.377
770,80.368
771,80.358
772,80.349
773,80.313
774,80.214
775,80.116
776,80.017
777,79.919
778,79.82
779,79.721
780,79.623
781,79.524
782,79.426
783,79.327
784,79.229
785,79.13
786,79.032
787,78.933
788,78.835
789,78.736
790,78.638
791,78.539
792,78.44
793,78.342
794,78.243
795,78.145
796,78.046
797,77.948
798,77.849
799,77.751
800,77.652
801,77.554
802,77.455
803,77.356
804,77.258
805,77.159
806,77.061
807,76.962
808,76.864
809,76.765
810,76.667
811,76.568
812,76.47
813,76.371
814,76.272
815,76.174
816,76.075
817,75.888
818,75.693
819,75.499
820,75.304
821,75.11
822,74.915
823,74.72
824,74.526
825,74.331
826,74.137
827,73.942
828,73.748
829,73.553
830,73.359
831,73.164
832,72.97
833,72.775
834,72.581
835,72.386
836,72.191
837,71.997
838,71.802
839,71.608
840,71.413
841,71.219
842,71.024
843,70.83
844,70.635
845,70.441
846,70.246
847,70.052
848,69.857
849,69.662
850,69.468
851,69.273
852,69.079
853,68.884
854,68.69
855,68.495
856,68.27
857,67.996
858,67.723
859,67.449
860,67.175
861,66.902
862,66.628
863,66.355
864,66.081
865,65.807
866,65.534
867,65.26
868,64.987
869,64.713
870,64.439
871,64.166
872,63.892
873,63.618
874,63.345
875,63.071
876,62.798
877,62.524
878,62.25
879,61.977
880,61.703
881,61.43
882,61.156
883,60.882
884,60.609
885,60.335
886,60.061
887,59.788
888,59.514
889,59.241
890,58.967
891,58.693
892,58.42
893,58.146
894,57.848
895,57.378
896,56.908
897,56.438
898,55.968
899,55.498
900,55.028
901,54.557
902,54.087
903,53.617
904,53.147
905,52.677
906,52.207
907,51.737
908,51.266
909,50.796
910,50.326
911,49.856
912,49.386
913,48.916
914,48.446
915,47.975
916,47.505
917,47.035
918,46.565
919,46.095
920,45.625
921,45.155
922,44.684
923,44.214
924,43.744
925,43.274
926,42.804
927,42.334
928,41.864
929,41.393
930,40.923
931,40.453
932,39.983
933,39.513
934,38.973
935,38.384
936,37.794
937,37.204
938,36.615
939,36.025
940,35.435
941,34.846
942,34.256
943,33.666
944,33.077
945,32.487
946,31.897
947,31.307
948,30.718
949,30.128
950,29.538
951,28.949
952,28.359
953,27.769
954,27.18
955,26.59
956,26
957,25.411
958,24.821
959,24.231
960,23.642
961,23.052
962,22.462
963,21.873
964,21.283
965,20.693
966,20.211
967,19.775
968,19.339
969,18.904
970,18.468
971,18.033
972,17.597
973,17.162
974,16.726
975,16.291
976,15.855
977,15.419
978,14.984
979,14.548
980,14.113
981,13.677
982,13.242
983,12.806
984,12.371
985,11.935
986,11.499
987,11.064
988,10.628
989,10.193
990,9.757
991,9.377
992,9.239
993,9.102
994,8.965
995,8.828
996,8.691
997,8.554
998,8.417
999,8.28
1000,8.143
1001,8.006
1002,7.869
1003,7.732
1004,7.595
1005,7.458
1006,7.321
1007,7.184
1008,7.046
1009,6.909
1010,6.772
1011,6.635
1012,6.498
1013,6.361
1014,6.224
1015,6.087
1016,5.95
1017,5.813
1018,5.676
1019,5.539
1020,5.402
1021,5.265
1022,5.128
1023,4.991
1024,4.853
1025,4.716
1026,4.579
1027,4.442
1028,4.305
1029,4.168
1030,4.031
1031,3.894
1032,3.757
1033,3.62
1034,3.483
1035,3.346
1036,3.209
1037,3.072
1038,2.935
1039,2.798
1040,2.66
1041,2.523
1042,2.386
1043,2.249
1044,2.112
1045,1.975
1046,1.838
1047,1.708
1048,1.69
1049,1.672
1050,1.654
1051,1.636
1052,1.618
1053,1.6
1054,1.582
1055,1.563
1056,1.545
1057,1.527
1058,1.509
1059,1.491
1060,1.473
1061,1.455
1062,1.437
1063,1.419
1064,1.4
1065,1.382
1066,1.364
1067,1.346
1068,1.328
1069,1.31
1070,1.292
1071,1.274
1072,1.256
1073,1.237
1074,1.219
1075,1.201
1076,1.183
1077,1.165
1078,1.147
1079,1.129
1080,1.111
1081,1.093
1082,1.074
1083,1.056
1084,1.038
1085,1.02
1086,1.002
1087,0.984
1088,0.966
1089,0.948
1090,0.93
1091,0.911
1092,0.893
1093,0.875
1094,0.857
