,Generated Power / MWh,Efficiency / kWh/kW,Exported ,FIT Credit,Low / kWh,High / kWh,Average / kWh,Comments
22/01/2023,95.348,3.043,-,"€0,00",288.075,"4,854.04","3,075.74",
22/02/2023,95.689,3.381,-,"€0,00",305.602,"5,912.27","3,417.46",
22/03/2023,137.892,4.4,-,"€0,00",457.054,"6,735.36","4,448.14",
22/04/2023,159.08,5.246,-,"€0,00",631.885,"7,039.38","5,302.66",
22/05/2023,184.458,5.886,-,"€0,00","2,289.32","7,079.09","5,950.26",
22/06/2023,150.828,4.974,-,"€0,00",0,"6,803.10","5,027.61",
22/07/2023,192.372,6.139,-,"€0,00","1,749.39","6,743.55","6,205.54",
22/08/2023,167.795,5.355,-,"€0,00","2,981.20","6,482.89","5,412.75",
22/09/2023,159.904,5.273,-,"€0,00","1,697.02","6,315.56","5,330.13",
22/10/2023,144.383,4.607,-,"€0,00",902.659,"5,952.47","4,657.51",
22/11/2023,77.728,2.563,-,"€0,00",309.282,"4,515.50","2,590.92",
22/12/2023,60.519,1.931,-,"€0,00",164.245,"3,866.27","1,952.22",
21/01/2023,80.608,2.572,-,"€0,00",17.222,"5,029.01","2,600.26",
21/02/2023,106.485,3.901,-,"€0,00",491.085,"5,701.89","3,943.89",Partial Month (27 days)
21/03/2023,132.772,4.237,-,"€0,00",746.282,"6,747.42","4,282.96",
21/04/2023,148.831,4.908,-,"€0,00",933.587,"6,975.79","4,961.03",
21/05/2023,177.705,5.671,-,"€0,00","2,881.90","7,053.56","5,732.42",
21/06/2023,173.893,5.734,-,"€0,00","3,789.21","7,091.97","5,796.44",
21/07/2023,182.262,5.816,-,"€0,00","2,251.74","6,632.36","5,879.41",
21/08/2023,174.046,5.554,-,"€0,00","2,521.77","6,398.88","5,614.38",
21/09/2023,142.971,4.714,-,"€0,00","1,509.04","6,329.06","4,765.72",
21/10/2023,107.088,3.417,-,"€0,00",73.842,"5,978.94","3,454.44",
21/11/2023,73.358,2.419,-,"€0,00",0,"4,573.96","2,445.28",
21/12/2023,73.004,2.33,-,"€0,00",177.804,"4,130.09","2,354.97",
15ms,,,,,,,,
