# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.897, -2.050 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""51.89708930387609"""," ""lon"": ""-2.050085593066383"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,0,0,0,6.035,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,0,0,0,5.937,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,0,0,0,5.684,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,0,0,0,5.837,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,0,0,0,5.916,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,0,0,0,5.789,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,0,0,0,6.225,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,0,0,0,6.625,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,0,0,0.003,6.916,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,0.013,0.003,0.023,7.376,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,0.049,0.009,0.058,7.993,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,0.103,0.03,0.095,8.699,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,0.155,0.066,0.115,9.293,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,0.122,0.05,0.096,9.368,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,0.07,0.029,0.062,8.882,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,0.02,0.014,0.021,7.401,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,0,0,0,5.801,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,0,0,0,4.55,,,,,,,,,,,,,
