# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 40.887, 23.914 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Athens, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Athens", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "40.88731206072904", "lon": "23.913841247623672", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2021-01-01 00:00,2021-01-01 02:00,0,0,0,6.354
2021-01-01 01:00,2021-01-01 03:00,0,0,0,6.027
2021-01-01 02:00,2021-01-01 04:00,0,0,0,5.752
2021-01-01 03:00,2021-01-01 05:00,0,0,0,5.499
2021-01-01 04:00,2021-01-01 06:00,0,0,0,5.274
2021-01-01 05:00,2021-01-01 07:00,0,0.001,0.001,5.092
2021-01-01 06:00,2021-01-01 08:00,0.180,0.166,0.038,5.859
2021-01-01 07:00,2021-01-01 09:00,0.430,0.424,0.060,8.584
2021-01-01 08:00,2021-01-01 10:00,0.595,0.626,0.067,10.457
2021-01-01 09:00,2021-01-01 11:00,0.681,0.744,0.071,12.233
2021-01-01 10:00,2021-01-01 12:00,0.702,0.775,0.072,13.027
2021-01-01 11:00,2021-01-01 13:00,0.662,0.722,0.071,13.298
2021-01-01 12:00,2021-01-01 14:00,0.562,0.593,0.065,13.162
2021-01-01 13:00,2021-01-01 15:00,0.384,0.382,0.056,12.482
2021-01-01 14:00,2021-01-01 16:00,0.122,0.118,0.029,10.665
2021-01-01 15:00,2021-01-01 17:00,0,0,0,9.533
2021-01-01 16:00,2021-01-01 18:00,0,0,0,9.034
2021-01-01 17:00,2021-01-01 19:00,0,0,0,8.587
2021-01-01 18:00,2021-01-01 20:00,0,0,0,8.095
2021-01-01 19:00,2021-01-01 21:00,0,0,0,7.595
2021-01-01 20:00,2021-01-01 22:00,0,0,0,6.944
2021-01-01 21:00,2021-01-01 23:00,0,0,0,6.417
2021-01-01 22:00,2021-01-02 00:00,0,0,0,6.137
2021-01-01 23:00,2021-01-02 01:00,0,0,0,5.943
2021-01-02 00:00,2021-01-02 02:00,0,0,0,5.749
2021-01-02 01:00,2021-01-02 03:00,0,0,0,5.580
2021-01-02 02:00,2021-01-02 04:00,0,0,0,5.411
2021-01-02 03:00,2021-01-02 05:00,0,0,0,5.060
2021-01-02 04:00,2021-01-02 06:00,0,0,0,4.594
2021-01-02 05:00,2021-01-02 07:00,0,0.001,0.001,4.234
2021-01-02 06:00,2021-01-02 08:00,0.187,0.171,0.039,5.095
2021-01-02 07:00,2021-01-02 09:00,0.428,0.416,0.064,8.103
2021-01-02 08:00,2021-01-02 10:00,0.579,0.595,0.075,10.150
2021-01-02 09:00,2021-01-02 11:00,0.644,0.673,0.087,11.474
2021-01-02 10:00,2021-01-02 12:00,0.616,0.621,0.104,11.875
2021-01-02 11:00,2021-01-02 13:00,0.558,0.542,0.108,12.005
2021-01-02 12:00,2021-01-02 14:00,0.429,0.384,0.106,11.810
2021-01-02 13:00,2021-01-02 15:00,0.235,0.181,0.088,11.188
2021-01-02 14:00,2021-01-02 16:00,0.039,0.027,0.030,9.527
2021-01-02 15:00,2021-01-02 17:00,0,0,0,8.042
2021-01-02 16:00,2021-01-02 18:00,0,0,0,7.855
2021-01-02 17:00,2021-01-02 19:00,0,0,0,7.817
2021-01-02 18:00,2021-01-02 20:00,0,0,0,7.959
2021-01-02 19:00,2021-01-02 21:00,0,0,0,8.168
2021-01-02 20:00,2021-01-02 22:00,0,0,0,8.453
2021-01-02 21:00,2021-01-02 23:00,0,0,0,8.737
2021-01-02 22:00,2021-01-03 00:00,0,0,0,9.007
2021-01-02 23:00,2021-01-03 01:00,0,0,0,9.564
2021-01-03 00:00,2021-01-03 02:00,0,0,0,10.160
2021-01-03 01:00,2021-01-03 03:00,0,0,0,10.487
2021-01-03 02:00,2021-01-03 04:00,0,0,0,10.458
2021-01-03 03:00,2021-01-03 05:00,0,0,0,9.976
2021-01-03 04:00,2021-01-03 06:00,0,0,0,9.353
2021-01-03 05:00,2021-01-03 07:00,0,0,0,9.293
2021-01-03 06:00,2021-01-03 08:00,0.014,0.003,0.024,9.775
2021-01-03 07:00,2021-01-03 09:00,0.054,0.008,0.066,10.942
2021-01-03 08:00,2021-01-03 10:00,0.113,0.020,0.118,11.632
2021-01-03 09:00,2021-01-03 11:00,0.191,0.052,0.170,12.335
2021-01-03 10:00,2021-01-03 12:00,0.251,0.095,0.193,13.015
2021-01-03 11:00,2021-01-03 13:00,0.303,0.160,0.187,13.634
2021-01-03 12:00,2021-01-03 14:00,0.274,0.162,0.154,13.986
2021-01-03 13:00,2021-01-03 15:00,0.157,0.084,0.102,13.831
2021-01-03 14:00,2021-01-03 16:00,0.039,0.024,0.033,12.483
2021-01-03 15:00,2021-01-03 17:00,0,0,0,11.034
2021-01-03 16:00,2021-01-03 18:00,0,0,0,10.380
2021-01-03 17:00,2021-01-03 19:00,0,0,0,10.038
2021-01-03 18:00,2021-01-03 20:00,0,0,0,9.769
2021-01-03 19:00,2021-01-03 21:00,0,0,0,9.795
2021-01-03 20:00,2021-01-03 22:00,0,0,0,10.030
2021-01-03 21:00,2021-01-03 23:00,0,0,0,10.334
2021-01-03 22:00,2021-01-04 00:00,0,0,0,10.576
2021-01-03 23:00,2021-01-04 01:00,0,0,0,10.653
2021-01-04 00:00,2021-01-04 02:00,0,0,0,10.580
2021-01-04 01:00,2021-01-04 03:00,0,0,0,10.479
2021-01-04 02:00,2021-01-04 04:00,0,0,0,10.509
2021-01-04 03:00,2021-01-04 05:00,0,0,0,10.733
2021-01-04 04:00,2021-01-04 06:00,0,0,0,10.925
2021-01-04 05:00,2021-01-04 07:00,0,0,0,11.195
2021-01-04 06:00,2021-01-04 08:00,0.003,0.001,0.010,11.686
2021-01-04 07:00,2021-01-04 09:00,0.018,0.001,0.031,12.167
2021-01-04 08:00,2021-01-04 10:00,0.055,0.004,0.072,12.517
2021-01-04 09:00,2021-01-04 11:00,0.111,0.011,0.125,12.817
2021-01-04 10:00,2021-01-04 12:00,0.161,0.025,0.165,13.026
2021-01-04 11:00,2021-01-04 13:00,0.144,0.022,0.150,13.006
2021-01-04 12:00,2021-01-04 14:00,0.102,0.014,0.113,12.922
2021-01-04 13:00,2021-01-04 15:00,0.050,0.006,0.063,12.676
2021-01-04 14:00,2021-01-04 16:00,0.007,0.002,0.016,12.472
2021-01-04 15:00,2021-01-04 17:00,0,0,0,12.744
2021-01-04 16:00,2021-01-04 18:00,0,0,0,13.250
2021-01-04 17:00,2021-01-04 19:00,0,0,0,13.517
2021-01-04 18:00,2021-01-04 20:00,0,0,0,13.342
2021-01-04 19:00,2021-01-04 21:00,0,0,0,12.420
2021-01-04 20:00,2021-01-04 22:00,0,0,0,10.708
2021-01-04 21:00,2021-01-04 23:00,0,0,0,9.033
2021-01-04 22:00,2021-01-05 00:00,0,0,0,8.060
2021-01-04 23:00,2021-01-05 01:00,0,0,0,7.463
2021-01-05 00:00,2021-01-05 02:00,0,0,0,7.165
2021-01-05 01:00,2021-01-05 03:00,0,0,0,6.892
2021-01-05 02:00,2021-01-05 04:00,0,0,0,6.517
2021-01-05 03:00,2021-01-05 05:00,0,0,0,5.986
2021-01-05 04:00,2021-01-05 06:00,0,0,0,5.348
2021-01-05 05:00,2021-01-05 07:00,0,0.001,0.001,5.056
2021-01-05 06:00,2021-01-05 08:00,0.186,0.171,0.040,6.191
2021-01-05 07:00,2021-01-05 09:00,0.436,0.430,0.061,8.507
2021-01-05 08:00,2021-01-05 10:00,0.597,0.625,0.068,10.282
2021-01-05 09:00,2021-01-05 11:00,0.684,0.745,0.072,11.877
2021-01-05 10:00,2021-01-05 12:00,0.704,0.776,0.073,12.800
2021-01-05 11:00,2021-01-05 13:00,0.663,0.723,0.072,13.193
2021-01-05 12:00,2021-01-05 14:00,0.561,0.591,0.067,13.169
2021-01-05 13:00,2021-01-05 15:00,0.384,0.382,0.057,12.594
2021-01-05 14:00,2021-01-05 16:00,0.124,0.117,0.031,10.379
2021-01-05 15:00,2021-01-05 17:00,0,0,0,9.035
2021-01-05 16:00,2021-01-05 18:00,0,0,0,8.858
2021-01-05 17:00,2021-01-05 19:00,0,0,0,8.708
2021-01-05 18:00,2021-01-05 20:00,0,0,0,8.582
2021-01-05 19:00,2021-01-05 21:00,0,0,0,8.295
2021-01-05 20:00,2021-01-05 22:00,0,0,0,7.895
2021-01-05 21:00,2021-01-05 23:00,0,0,0,7.427
2021-01-05 22:00,2021-01-06 00:00,0,0,0,7.036
2021-01-05 23:00,2021-01-06 01:00,0,0,0,7.080
2021-01-06 00:00,2021-01-06 02:00,0,0,0,6.944
2021-01-06 01:00,2021-01-06 03:00,0,0,0,6.865
2021-01-06 02:00,2021-01-06 04:00,0,0,0,6.867
2021-01-06 03:00,2021-01-06 05:00,0,0,0,6.933
2021-01-06 04:00,2021-01-06 06:00,0,0,0,7.193
2021-01-06 05:00,2021-01-06 07:00,0,0,0.001,7.224
2021-01-06 06:00,2021-01-06 08:00,0.063,0.038,0.044,7.885
2021-01-06 07:00,2021-01-06 09:00,0.219,0.144,0.105,10.042
2021-01-06 08:00,2021-01-06 10:00,0.395,0.319,0.131,11.894
2021-01-06 09:00,2021-01-06 11:00,0.536,0.499,0.127,13.045
2021-01-06 10:00,2021-01-06 12:00,0.613,0.615,0.113,13.635
2021-01-06 11:00,2021-01-06 13:00,0.564,0.552,0.112,13.845
2021-01-06 12:00,2021-01-06 14:00,0.457,0.422,0.106,13.746
2021-01-06 13:00,2021-01-06 15:00,0.210,0.148,0.095,13.162
2021-01-06 14:00,2021-01-06 16:00,0.032,0.018,0.030,11.497
2021-01-06 15:00,2021-01-06 17:00,0,0,0,10.200
2021-01-06 16:00,2021-01-06 18:00,0,0,0,9.829
2021-01-06 17:00,2021-01-06 19:00,0,0,0,9.545
2021-01-06 18:00,2021-01-06 20:00,0,0,0,9.442
2021-01-06 19:00,2021-01-06 21:00,0,0,0,9.469
2021-01-06 20:00,2021-01-06 22:00,0,0,0,9.384
2021-01-06 21:00,2021-01-06 23:00,0,0,0,9.389
2021-01-06 22:00,2021-01-07 00:00,0,0,0,9.329
2021-01-06 23:00,2021-01-07 01:00,0,0,0,9.219
2021-01-07 00:00,2021-01-07 02:00,0,0,0,8.993
2021-01-07 01:00,2021-01-07 03:00,0,0,0,8.567
2021-01-07 02:00,2021-01-07 04:00,0,0,0,8.247
2021-01-07 03:00,2021-01-07 05:00,0,0,0,8.201
2021-01-07 04:00,2021-01-07 06:00,0,0,0,8.067
2021-01-07 05:00,2021-01-07 07:00,0,0.001,0.001,7.983
2021-01-07 06:00,2021-01-07 08:00,0.057,0.032,0.044,8.890
2021-01-07 07:00,2021-01-07 09:00,0.189,0.109,0.109,10.921
2021-01-07 08:00,2021-01-07 10:00,0.387,0.303,0.138,12.583
2021-01-07 09:00,2021-01-07 11:00,0.517,0.463,0.139,13.666
2021-01-07 10:00,2021-01-07 12:00,0.538,0.488,0.143,14.166
2021-01-07 11:00,2021-01-07 13:00,0.453,0.370,0.155,14.293
2021-01-07 12:00,2021-01-07 14:00,0.233,0.121,0.149,14.000
2021-01-07 13:00,2021-01-07 15:00,0.091,0.030,0.085,13.302
2021-01-07 14:00,2021-01-07 16:00,0.027,0.013,0.030,11.881
2021-01-07 15:00,2021-01-07 17:00,0,0,0,10.635
2021-01-07 16:00,2021-01-07 18:00,0,0,0,10.285
2021-01-07 17:00,2021-01-07 19:00,0,0,0,10.304
2021-01-07 18:00,2021-01-07 20:00,0,0,0,10.455
2021-01-07 19:00,2021-01-07 21:00,0,0,0,10.529
2021-01-07 20:00,2021-01-07 22:00,0,0,0,10.502
2021-01-07 21:00,2021-01-07 23:00,0,0,0,10.390
2021-01-07 22:00,2021-01-08 00:00,0,0,0,10.340
2021-01-07 23:00,2021-01-08 01:00,0,0,0,10.291
2021-01-08 00:00,2021-01-08 02:00,0,0,0,10.107
2021-01-08 01:00,2021-01-08 03:00,0,0,0,10.204
2021-01-08 02:00,2021-01-08 04:00,0,0,0,10.338
2021-01-08 03:00,2021-01-08 05:00,0,0,0,10.295
2021-01-08 04:00,2021-01-08 06:00,0,0,0,10.184
2021-01-08 05:00,2021-01-08 07:00,0,0,0.001,10.072
2021-01-08 06:00,2021-01-08 08:00,0.069,0.043,0.047,10.991
2021-01-08 07:00,2021-01-08 09:00,0.224,0.149,0.109,13.063
2021-01-08 08:00,2021-01-08 10:00,0.380,0.298,0.140,14.255
2021-01-08 09:00,2021-01-08 11:00,0.449,0.363,0.159,15.158
2021-01-08 10:00,2021-01-08 12:00,0.399,0.281,0.182,15.598
2021-01-08 11:00,2021-01-08 13:00,0.295,0.162,0.179,15.673
2021-01-08 12:00,2021-01-08 14:00,0.230,0.120,0.148,15.542
2021-01-08 13:00,2021-01-08 15:00,0.177,0.108,0.102,15.078
2021-01-08 14:00,2021-01-08 16:00,0.056,0.039,0.037,13.276
2021-01-08 15:00,2021-01-08 17:00,0,0,0,11.248
2021-01-08 16:00,2021-01-08 18:00,0,0,0,11.219
2021-01-08 17:00,2021-01-08 19:00,0,0,0,11.376
2021-01-08 18:00,2021-01-08 20:00,0,0,0,11.442
2021-01-08 19:00,2021-01-08 21:00,0,0,0,11.361
2021-01-08 20:00,2021-01-08 22:00,0,0,0,11.103
2021-01-08 21:00,2021-01-08 23:00,0,0,0,10.980
2021-01-08 22:00,2021-01-09 00:00,0,0,0,11.083
2021-01-08 23:00,2021-01-09 01:00,0,0,0,11.112
2021-01-09 00:00,2021-01-09 02:00,0,0,0,11.307
2021-01-09 01:00,2021-01-09 03:00,0,0,0,11.488
2021-01-09 02:00,2021-01-09 04:00,0,0,0,11.616
2021-01-09 03:00,2021-01-09 05:00,0,0,0,11.583
2021-01-09 04:00,2021-01-09 06:00,0,0,0,11.309
2021-01-09 05:00,2021-01-09 07:00,0,0,0.001,11.284
2021-01-09 06:00,2021-01-09 08:00,0.024,0.006,0.033,11.472
2021-01-09 07:00,2021-01-09 09:00,0.080,0.013,0.089,12.327
2021-01-09 08:00,2021-01-09 10:00,0.100,0.011,0.112,12.516
2021-01-09 09:00,2021-01-09 11:00,0.087,0.006,0.103,12.066
2021-01-09 10:00,2021-01-09 12:00,0.079,0.005,0.096,11.379
2021-01-09 11:00,2021-01-09 13:00,0.058,0.003,0.074,10.669
2021-01-09 12:00,2021-01-09 14:00,0.053,0.003,0.069,10.156
2021-01-09 13:00,2021-01-09 15:00,0.024,0.002,0.038,9.532
2021-01-09 14:00,2021-01-09 16:00,0.003,0.001,0.010,8.823
2021-01-09 15:00,2021-01-09 17:00,0,0,0,8.115
2021-01-09 16:00,2021-01-09 18:00,0,0,0,7.577
2021-01-09 17:00,2021-01-09 19:00,0,0,0,7.034
2021-01-09 18:00,2021-01-09 20:00,0,0,0,6.640
2021-01-09 19:00,2021-01-09 21:00,0,0,0,6.494
2021-01-09 20:00,2021-01-09 22:00,0,0,0,6.264
2021-01-09 21:00,2021-01-09 23:00,0,0,0,6.182
2021-01-09 22:00,2021-01-10 00:00,0,0,0,6.198
2021-01-09 23:00,2021-01-10 01:00,0,0,0,6.216
2021-01-10 00:00,2021-01-10 02:00,0,0,0,6.402
2021-01-10 01:00,2021-01-10 03:00,0,0,0,6.474
2021-01-10 02:00,2021-01-10 04:00,0,0,0,6.516
2021-01-10 03:00,2021-01-10 05:00,0,0,0,6.470
2021-01-10 04:00,2021-01-10 06:00,0,0,0,6.401
2021-01-10 05:00,2021-01-10 07:00,0,0,0.001,6.301
2021-01-10 06:00,2021-01-10 08:00,0.029,0.008,0.037,6.688
2021-01-10 07:00,2021-01-10 09:00,0.134,0.042,0.116,7.477
2021-01-10 08:00,2021-01-10 10:00,0.171,0.041,0.156,8.030
2021-01-10 09:00,2021-01-10 11:00,0.128,0.014,0.137,8.127
2021-01-10 10:00,2021-01-10 12:00,0.077,0.004,0.093,7.928
2021-01-10 11:00,2021-01-10 13:00,0.051,0.002,0.067,7.782
2021-01-10 12:00,2021-01-10 14:00,0.036,0.002,0.051,7.746
2021-01-10 13:00,2021-01-10 15:00,0.015,0.001,0.027,7.669
2021-01-10 14:00,2021-01-10 16:00,0.001,0,0.008,7.497
2021-01-10 15:00,2021-01-10 17:00,0,0,0,7.216
2021-01-10 16:00,2021-01-10 18:00,0,0,0,7.066
2021-01-10 17:00,2021-01-10 19:00,0,0,0,7.088
2021-01-10 18:00,2021-01-10 20:00,0,0,0,7.200
2021-01-10 19:00,2021-01-10 21:00,0,0,0,7.326
2021-01-10 20:00,2021-01-10 22:00,0,0,0,7.454
2021-01-10 21:00,2021-01-10 23:00,0,0,0,7.668
2021-01-10 22:00,2021-01-11 00:00,0,0,0,7.798
2021-01-10 23:00,2021-01-11 01:00,0,0,0,8.113
2021-01-11 00:00,2021-01-11 02:00,0,0,0,8.387
2021-01-11 01:00,2021-01-11 03:00,0,0,0,8.558
2021-01-11 02:00,2021-01-11 04:00,0,0,0,8.394
2021-01-11 03:00,2021-01-11 05:00,0,0,0,8.401
2021-01-11 04:00,2021-01-11 06:00,0,0,0,8.396
2021-01-11 05:00,2021-01-11 07:00,0,0,0,8.377
2021-01-11 06:00,2021-01-11 08:00,0.003,0,0.010,8.652
2021-01-11 07:00,2021-01-11 09:00,0.015,0.001,0.028,9.311
2021-01-11 08:00,2021-01-11 10:00,0.031,0.001,0.047,9.957
2021-01-11 09:00,2021-01-11 11:00,0.065,0.003,0.083,10.705
2021-01-11 10:00,2021-01-11 12:00,0.084,0.005,0.102,11.537
2021-01-11 11:00,2021-01-11 13:00,0.067,0.003,0.085,11.926
2021-01-11 12:00,2021-01-11 14:00,0.045,0.002,0.062,11.997
2021-01-11 13:00,2021-01-11 15:00,0.021,0.001,0.035,11.716
2021-01-11 14:00,2021-01-11 16:00,0.002,0,0.010,11.211
2021-01-11 15:00,2021-01-11 17:00,0,0,0,10.895
2021-01-11 16:00,2021-01-11 18:00,0,0,0,10.948
2021-01-11 17:00,2021-01-11 19:00,0,0,0,11.238
2021-01-11 18:00,2021-01-11 20:00,0,0,0,11.590
2021-01-11 19:00,2021-01-11 21:00,0,0,0,11.900
2021-01-11 20:00,2021-01-11 22:00,0,0,0,12.124
2021-01-11 21:00,2021-01-11 23:00,0,0,0,12.298
2021-01-11 22:00,2021-01-12 00:00,0,0,0,12.109
2021-01-11 23:00,2021-01-12 01:00,0,0,0,11.843
2021-01-12 00:00,2021-01-12 02:00,0,0,0,11.733
2021-01-12 01:00,2021-01-12 03:00,0,0,0,11.586
2021-01-12 02:00,2021-01-12 04:00,0,0,0,11.557
2021-01-12 03:00,2021-01-12 05:00,0,0,0,11.647
2021-01-12 04:00,2021-01-12 06:00,0,0,0,11.519
2021-01-12 05:00,2021-01-12 07:00,0,0,0,11.123
2021-01-12 06:00,2021-01-12 08:00,0.011,0.002,0.021,11.072
2021-01-12 07:00,2021-01-12 09:00,0.039,0.003,0.054,11.492
2021-01-12 08:00,2021-01-12 10:00,0.078,0.007,0.093,11.586
2021-01-12 09:00,2021-01-12 11:00,0.103,0.009,0.117,11.452
2021-01-12 10:00,2021-01-12 12:00,0.124,0.013,0.136,11.228
2021-01-12 11:00,2021-01-12 13:00,0.117,0.013,0.129,10.946
2021-01-12 12:00,2021-01-12 14:00,0.112,0.017,0.120,10.707
2021-01-12 13:00,2021-01-12 15:00,0.103,0.027,0.099,10.509
