# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 40.887, 23.914 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Athens, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Athens", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "40.88731206072904", "lon": "23.913841247623672", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2022-01-01 00:00,2022-01-01 02:00,0,0,0,5.744
2022-01-01 01:00,2022-01-01 03:00,0,0,0,5.637
2022-01-01 02:00,2022-01-01 04:00,0,0,0,5.568
2022-01-01 03:00,2022-01-01 05:00,0,0,0,5.617
2022-01-01 04:00,2022-01-01 06:00,0,0,0,5.588
2022-01-01 05:00,2022-01-01 07:00,0,0,0.001,5.695
2022-01-01 06:00,2022-01-01 08:00,0.048,0.025,0.040,6.639
2022-01-01 07:00,2022-01-01 09:00,0.094,0.028,0.087,8.074
2022-01-01 08:00,2022-01-01 10:00,0.141,0.039,0.127,9.280
2022-01-01 09:00,2022-01-01 11:00,0.255,0.114,0.176,10.773
2022-01-01 10:00,2022-01-01 12:00,0.450,0.354,0.165,13.056
2022-01-01 11:00,2022-01-01 13:00,0.557,0.541,0.117,14.696
2022-01-01 12:00,2022-01-01 14:00,0.456,0.429,0.103,15.302
2022-01-01 13:00,2022-01-01 15:00,0.294,0.257,0.081,14.705
2022-01-01 14:00,2022-01-01 16:00,0.076,0.065,0.034,12.499
2022-01-01 15:00,2022-01-01 17:00,0,0,0,10.674
2022-01-01 16:00,2022-01-01 18:00,0,0,0,10.028
2022-01-01 17:00,2022-01-01 19:00,0,0,0,9.564
2022-01-01 18:00,2022-01-01 20:00,0,0,0,8.987
2022-01-01 19:00,2022-01-01 21:00,0,0,0,8.248
2022-01-01 20:00,2022-01-01 22:00,0,0,0,7.627
2022-01-01 21:00,2022-01-01 23:00,0,0,0,7.104
2022-01-01 22:00,2022-01-02 00:00,0,0,0,6.708
2022-01-01 23:00,2022-01-02 01:00,0,0,0,6.392
2022-01-02 00:00,2022-01-02 02:00,0,0,0,6.120
2022-01-02 01:00,2022-01-02 03:00,0,0,0,6.120
2022-01-02 02:00,2022-01-02 04:00,0,0,0,6.128
2022-01-02 03:00,2022-01-02 05:00,0,0,0,6.116
2022-01-02 04:00,2022-01-02 06:00,0,0,0,6.193
2022-01-02 05:00,2022-01-02 07:00,0,0.001,0.001,6.334
2022-01-02 06:00,2022-01-02 08:00,0.154,0.137,0.041,7.332
2022-01-02 07:00,2022-01-02 09:00,0.392,0.373,0.069,9.987
2022-01-02 08:00,2022-01-02 10:00,0.555,0.567,0.078,11.915
2022-01-02 09:00,2022-01-02 11:00,0.629,0.665,0.086,13.987
2022-01-02 10:00,2022-01-02 12:00,0.660,0.715,0.084,15.177
2022-01-02 11:00,2022-01-02 13:00,0.626,0.671,0.081,15.480
2022-01-02 12:00,2022-01-02 14:00,0.527,0.546,0.075,15.334
2022-01-02 13:00,2022-01-02 15:00,0.359,0.351,0.062,14.567
2022-01-02 14:00,2022-01-02 16:00,0.110,0.104,0.031,12.490
2022-01-02 15:00,2022-01-02 17:00,0,0,0,11.346
2022-01-02 16:00,2022-01-02 18:00,0,0,0,10.853
2022-01-02 17:00,2022-01-02 19:00,0,0,0,10.655
2022-01-02 18:00,2022-01-02 20:00,0,0,0,10.283
2022-01-02 19:00,2022-01-02 21:00,0,0,0,9.702
2022-01-02 20:00,2022-01-02 22:00,0,0,0,9.086
2022-01-02 21:00,2022-01-02 23:00,0,0,0,8.569
2022-01-02 22:00,2022-01-03 00:00,0,0,0,8.175
2022-01-02 23:00,2022-01-03 01:00,0,0,0,7.805
2022-01-03 00:00,2022-01-03 02:00,0,0,0,7.465
2022-01-03 01:00,2022-01-03 03:00,0,0,0,7.135
2022-01-03 02:00,2022-01-03 04:00,0,0,0,6.759
2022-01-03 03:00,2022-01-03 05:00,0,0,0,6.232
2022-01-03 04:00,2022-01-03 06:00,0,0,0,5.922
2022-01-03 05:00,2022-01-03 07:00,0,0.001,0.001,5.600
2022-01-03 06:00,2022-01-03 08:00,0.176,0.160,0.040,6.129
2022-01-03 07:00,2022-01-03 09:00,0.417,0.402,0.066,8.581
2022-01-03 08:00,2022-01-03 10:00,0.568,0.578,0.079,10.379
2022-01-03 09:00,2022-01-03 11:00,0.570,0.557,0.108,12.138
2022-01-03 10:00,2022-01-03 12:00,0.503,0.448,0.135,13.123
2022-01-03 11:00,2022-01-03 13:00,0.519,0.488,0.117,13.791
2022-01-03 12:00,2022-01-03 14:00,0.506,0.506,0.084,14.055
2022-01-03 13:00,2022-01-03 15:00,0.365,0.355,0.063,13.352
2022-01-03 14:00,2022-01-03 16:00,0.094,0.085,0.032,10.972
2022-01-03 15:00,2022-01-03 17:00,0,0,0,9.856
