# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.897, -2.050 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "51.8971", "lon": "-2.0501", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 00:00,0,0,0,6.665,0
2015-01-01 01:00,2015-01-01 01:00,0,0,0,6.617,0
2015-01-01 02:00,2015-01-01 02:00,0,0,0,6.886,0
2015-01-01 03:00,2015-01-01 03:00,0,0,0,7.357,0
2015-01-01 04:00,2015-01-01 04:00,0,0,0,7.742,0
2015-01-01 05:00,2015-01-01 05:00,0,0,0,8.001,0
2015-01-01 06:00,2015-01-01 06:00,0,0,0,8.158,0
2015-01-01 07:00,2015-01-01 07:00,0,0,0,8.426,0
2015-01-01 08:00,2015-01-01 08:00,0,0,0,8.738,0
2015-01-01 09:00,2015-01-01 09:00,0.002,0,0.009,9.107,0
2015-01-01 10:00,2015-01-01 10:00,0.018,0,0.032,9.536,0
2015-01-01 11:00,2015-01-01 11:00,0.025,0,0.040,9.903,0
2015-01-01 12:00,2015-01-01 12:00,0.022,0,0.037,10.097,0
2015-01-01 13:00,2015-01-01 13:00,0.016,0,0.030,10.303,0
2015-01-01 14:00,2015-01-01 14:00,0.007,0,0.017,10.534,0
2015-01-01 15:00,2015-01-01 15:00,0,0,0.006,10.537,0
2015-01-01 16:00,2015-01-01 16:00,0,0,0,10.506,0
2015-01-01 17:00,2015-01-01 17:00,0,0,0,10.586,0
2015-01-01 18:00,2015-01-01 18:00,0,0,0,10.730,0
2015-01-01 19:00,2015-01-01 19:00,0,0,0,10.876,0
2015-01-01 20:00,2015-01-01 20:00,0,0,0,10.993,0
2015-01-01 21:00,2015-01-01 21:00,0,0,0,11.194,0
2015-01-01 22:00,2015-01-01 22:00,0,0,0,11.470,0
2015-01-01 23:00,2015-01-01 23:00,0,0,0,11.704,0
2015-01-02 00:00,2015-01-02 00:00,0,0,0,11.781,0
2015-01-02 01:00,2015-01-02 01:00,0,0,0,11.218,0
2015-01-02 02:00,2015-01-02 02:00,0,0,0,9.534,0
2015-01-02 03:00,2015-01-02 03:00,0,0,0,7.986,0
2015-01-02 04:00,2015-01-02 04:00,0,0,0,7.105,0
2015-01-02 05:00,2015-01-02 05:00,0,0,0,6.310,0
2015-01-02 06:00,2015-01-02 06:00,0,0,0,5.667,0
2015-01-02 07:00,2015-01-02 07:00,0,0,0,5.153,0
2015-01-02 08:00,2015-01-02 08:00,0,0,0,4.686,0
2015-01-02 09:00,2015-01-02 09:00,0.135,0.132,0.024,5.106,0
2015-01-02 10:00,2015-01-02 10:00,0.308,0.287,0.054,6.055,0
2015-01-02 11:00,2015-01-02 11:00,0.414,0.390,0.071,6.978,0
2015-01-02 12:00,2015-01-02 12:00,0.461,0.439,0.077,7.367,0
2015-01-02 13:00,2015-01-02 13:00,0.428,0.399,0.078,7.113,0
2015-01-02 14:00,2015-01-02 14:00,0.303,0.265,0.071,6.386,0
2015-01-02 15:00,2015-01-02 15:00,0.117,0.099,0.039,4.544,0
2015-01-02 16:00,2015-01-02 16:00,0,0,0,2.690,0
2015-01-02 17:00,2015-01-02 17:00,0,0,0,2.774,0
2015-01-02 18:00,2015-01-02 18:00,0,0,0,2.980,0
2015-01-02 19:00,2015-01-02 19:00,0,0,0,1.999,0
2015-01-02 20:00,2015-01-02 20:00,0,0,0,1.765,0
2015-01-02 21:00,2015-01-02 21:00,0,0,0,2.651,0
2015-01-02 22:00,2015-01-02 22:00,0,0,0,2.848,0
2015-01-02 23:00,2015-01-02 23:00,0,0,0,2.907,0
2015-01-03 00:00,2015-01-03 00:00,0,0,0,2.572,0
2015-01-03 01:00,2015-01-03 01:00,0,0,0,2.746,0
2015-01-03 02:00,2015-01-03 02:00,0,0,0,2.881,0
2015-01-03 03:00,2015-01-03 03:00,0,0,0,2.846,0
2015-01-03 04:00,2015-01-03 04:00,0,0,0,2.864,0
2015-01-03 05:00,2015-01-03 05:00,0,0,0,2.918,0
2015-01-03 06:00,2015-01-03 06:00,0,0,0,2.511,0
2015-01-03 07:00,2015-01-03 07:00,0,0,0,2.415,0
2015-01-03 08:00,2015-01-03 08:00,0,0,0,2.687,0
2015-01-03 09:00,2015-01-03 09:00,0.113,0.120,0.012,3.298,0
2015-01-03 10:00,2015-01-03 10:00,0.014,0,0.026,4.202,0
2015-01-03 11:00,2015-01-03 11:00,0.036,0,0.052,4.918,0
2015-01-03 12:00,2015-01-03 12:00,0.025,0,0.039,5.180,0
2015-01-03 13:00,2015-01-03 13:00,0.015,0.001,0.027,4.707,0
2015-01-03 14:00,2015-01-03 14:00,0.057,0.021,0.054,3.595,0
2015-01-03 15:00,2015-01-03 15:00,0.011,0,0.021,2.410,0
2015-01-03 16:00,2015-01-03 16:00,0,0,0.001,1.417,0
2015-01-03 17:00,2015-01-03 17:00,0,0,0,1.222,0
2015-01-03 18:00,2015-01-03 18:00,0,0,0,1.307,0
2015-01-03 19:00,2015-01-03 19:00,0,0,0,1.366,0
2015-01-03 20:00,2015-01-03 20:00,0,0,0,1.454,0
2015-01-03 21:00,2015-01-03 21:00,0,0,0,1.503,0
2015-01-03 22:00,2015-01-03 22:00,0,0,0,1.476,0
2015-01-03 23:00,2015-01-03 23:00,0,0,0,1.342,0
2015-01-04 00:00,2015-01-04 00:00,0,0,0,0.962,0
2015-01-04 01:00,2015-01-04 01:00,0,0,0,0.631,0
2015-01-04 02:00,2015-01-04 02:00,0,0,0,0.404,0
2015-01-04 03:00,2015-01-04 03:00,0,0,0,0.166,0
2015-01-04 04:00,2015-01-04 04:00,0,0,0,0.096,0
2015-01-04 05:00,2015-01-04 05:00,0,0,0,0.186,0
2015-01-04 06:00,2015-01-04 06:00,0,0,0,0.106,0
2015-01-04 07:00,2015-01-04 07:00,0,0,0,-0.036,0
2015-01-04 08:00,2015-01-04 08:00,0,0,0,-0.061,0
2015-01-04 09:00,2015-01-04 09:00,0.019,0.007,0.025,0.250,0
2015-01-04 10:00,2015-01-04 10:00,0.068,0.019,0.066,0.569,0
2015-01-04 11:00,2015-01-04 11:00,0.154,0.079,0.094,1.292,0
2015-01-04 12:00,2015-01-04 12:00,0.162,0.083,0.100,1.910,0
2015-01-04 13:00,2015-01-04 13:00,0.057,0.004,0.071,2.212,0
2015-01-04 14:00,2015-01-04 14:00,0.061,0.014,0.064,2.132,0
2015-01-04 15:00,2015-01-04 15:00,0.011,0,0.021,1.632,0
2015-01-04 16:00,2015-01-04 16:00,0,0,0.001,1.579,0
2015-01-04 17:00,2015-01-04 17:00,0,0,0,1.651,0
2015-01-04 18:00,2015-01-04 18:00,0,0,0,1.877,0
2015-01-04 19:00,2015-01-04 19:00,0,0,0,2.144,0
2015-01-04 20:00,2015-01-04 20:00,0,0,0,2.414,0
2015-01-04 21:00,2015-01-04 21:00,0,0,0,2.704,0
2015-01-04 22:00,2015-01-04 22:00,0,0,0,3.003,0
2015-01-04 23:00,2015-01-04 23:00,0,0,0,3.327,0
2015-01-05 00:00,2015-01-05 00:00,0,0,0,3.732,0
2015-01-05 01:00,2015-01-05 01:00,0,0,0,4.032,0
2015-01-05 02:00,2015-01-05 02:00,0,0,0,4.255,0
2015-01-05 03:00,2015-01-05 03:00,0,0,0,4.491,0
2015-01-05 04:00,2015-01-05 04:00,0,0,0,4.749,0
2015-01-05 05:00,2015-01-05 05:00,0,0,0,5.016,0
2015-01-05 06:00,2015-01-05 06:00,0,0,0,5.110,0
2015-01-05 07:00,2015-01-05 07:00,0,0,0,5.399,0
2015-01-05 08:00,2015-01-05 08:00,0,0,0,5.807,0
2015-01-05 09:00,2015-01-05 09:00,0.047,0.036,0.029,6.416,0
2015-01-05 10:00,2015-01-05 10:00,0.069,0.023,0.066,6.896,0
2015-01-05 11:00,2015-01-05 11:00,0.076,0.012,0.084,7.318,0
2015-01-05 12:00,2015-01-05 12:00,0.068,0.005,0.083,7.762,0
2015-01-05 13:00,2015-01-05 13:00,0.070,0.009,0.081,7.933,0
2015-01-05 14:00,2015-01-05 14:00,0.037,0.002,0.051,7.817,0
2015-01-05 15:00,2015-01-05 15:00,0.010,0.001,0.020,7.417,0
2015-01-05 16:00,2015-01-05 16:00,0,0,0.001,6.975,0
2015-01-05 17:00,2015-01-05 17:00,0,0,0,6.845,0
2015-01-05 18:00,2015-01-05 18:00,0,0,0,6.797,0
2015-01-05 19:00,2015-01-05 19:00,0,0,0,6.836,0
2015-01-05 20:00,2015-01-05 20:00,0,0,0,6.876,0
2015-01-05 21:00,2015-01-05 21:00,0,0,0,7.044,0
2015-01-05 22:00,2015-01-05 22:00,0,0,0,7.160,0
2015-01-05 23:00,2015-01-05 23:00,0,0,0,7.238,0
2015-01-06 00:00,2015-01-06 00:00,0,0,0,7.259,0
2015-01-06 01:00,2015-01-06 01:00,0,0,0,7.313,0
2015-01-06 02:00,2015-01-06 02:00,0,0,0,7.411,0
2015-01-06 03:00,2015-01-06 03:00,0,0,0,7.523,0
2015-01-06 04:00,2015-01-06 04:00,0,0,0,7.620,0
2015-01-06 05:00,2015-01-06 05:00,0,0,0,7.853,0
2015-01-06 06:00,2015-01-06 06:00,0,0,0,8.031,0
2015-01-06 07:00,2015-01-06 07:00,0,0,0,7.979,0
2015-01-06 08:00,2015-01-06 08:00,0,0.003,0.002,7.942,0
2015-01-06 09:00,2015-01-06 09:00,0.012,0.007,0.017,8.228,0
2015-01-06 10:00,2015-01-06 10:00,0.026,0.001,0.040,7.851,0
2015-01-06 11:00,2015-01-06 11:00,0.194,0.130,0.090,6.911,0
2015-01-06 12:00,2015-01-06 12:00,0.247,0.167,0.109,6.571,0
2015-01-06 13:00,2015-01-06 13:00,0.122,0.046,0.098,6.530,0
2015-01-06 14:00,2015-01-06 14:00,0.237,0.186,0.079,6.134,0
2015-01-06 15:00,2015-01-06 15:00,0.111,0.088,0.043,4.428,0
2015-01-06 16:00,2015-01-06 16:00,0.002,0.005,0.004,2.244,0
2015-01-06 17:00,2015-01-06 17:00,0,0,0,1.473,0
2015-01-06 18:00,2015-01-06 18:00,0,0,0,1.114,0
2015-01-06 19:00,2015-01-06 19:00,0,0,0,1.028,0
2015-01-06 20:00,2015-01-06 20:00,0,0,0,1.145,0
2015-01-06 21:00,2015-01-06 21:00,0,0,0,1.820,0
2015-01-06 22:00,2015-01-06 22:00,0,0,0,2.347,0
2015-01-06 23:00,2015-01-06 23:00,0,0,0,2.395,0
2015-01-07 00:00,2015-01-07 00:00,0,0,0,3.013,0
2015-01-07 01:00,2015-01-07 01:00,0,0,0,3.250,0
2015-01-07 02:00,2015-01-07 02:00,0,0,0,3.144,0
2015-01-07 03:00,2015-01-07 03:00,0,0,0,3.498,0
2015-01-07 04:00,2015-01-07 04:00,0,0,0,3.626,0
2015-01-07 05:00,2015-01-07 05:00,0,0,0,3.610,0
2015-01-07 06:00,2015-01-07 06:00,0,0,0,3.613,0
2015-01-07 07:00,2015-01-07 07:00,0,0,0,3.433,0
2015-01-07 08:00,2015-01-07 08:00,0,0.002,0.003,3.448,0
2015-01-07 09:00,2015-01-07 09:00,0.098,0.093,0.025,4.028,0
2015-01-07 10:00,2015-01-07 10:00,0.044,0.007,0.054,5.003,0
2015-01-07 11:00,2015-01-07 11:00,0.055,0.006,0.067,5.922,0
2015-01-07 12:00,2015-01-07 12:00,0.019,0,0.033,6.645,0
2015-01-07 13:00,2015-01-07 13:00,0.037,0.001,0.053,7.039,0
2015-01-07 14:00,2015-01-07 14:00,0.028,0.001,0.043,7.263,0
2015-01-07 15:00,2015-01-07 15:00,0.007,0,0.018,7.282,0
2015-01-07 16:00,2015-01-07 16:00,0,0,0.002,7.358,0
2015-01-07 17:00,2015-01-07 17:00,0,0,0,7.650,0
2015-01-07 18:00,2015-01-07 18:00,0,0,0,7.967,0
2015-01-07 19:00,2015-01-07 19:00,0,0,0,8.217,0
2015-01-07 20:00,2015-01-07 20:00,0,0,0,8.481,0
2015-01-07 21:00,2015-01-07 21:00,0,0,0,8.866,0
2015-01-07 22:00,2015-01-07 22:00,0,0,0,9.342,0
2015-01-07 23:00,2015-01-07 23:00,0,0,0,9.783,0
2015-01-08 00:00,2015-01-08 00:00,0,0,0,10.083,0
2015-01-08 01:00,2015-01-08 01:00,0,0,0,9.932,0
2015-01-08 02:00,2015-01-08 02:00,0,0,0,9.480,0
2015-01-08 03:00,2015-01-08 03:00,0,0,0,8.598,0
2015-01-08 04:00,2015-01-08 04:00,0,0,0,7.749,0
2015-01-08 05:00,2015-01-08 05:00,0,0,0,7.379,0
2015-01-08 06:00,2015-01-08 06:00,0,0,0,7.149,0
2015-01-08 07:00,2015-01-08 07:00,0,0,0,6.962,0
2015-01-08 08:00,2015-01-08 08:00,0,0,0.001,6.882,0
2015-01-08 09:00,2015-01-08 09:00,0.007,0,0.017,6.942,0
2015-01-08 10:00,2015-01-08 10:00,0.046,0.014,0.049,6.966,0
2015-01-08 11:00,2015-01-08 11:00,0.246,0.180,0.096,7.377,0
2015-01-08 12:00,2015-01-08 12:00,0.505,0.499,0.071,7.886,0
2015-01-08 13:00,2015-01-08 13:00,0.381,0.340,0.086,8.040,0
2015-01-08 14:00,2015-01-08 14:00,0.134,0.078,0.079,7.609,0
2015-01-08 15:00,2015-01-08 15:00,0.112,0.087,0.046,6.173,0
2015-01-08 16:00,2015-01-08 16:00,0.003,0.006,0.004,4.417,0
2015-01-08 17:00,2015-01-08 17:00,0,0,0,4.850,0
2015-01-08 18:00,2015-01-08 18:00,0,0,0,5.022,0
2015-01-08 19:00,2015-01-08 19:00,0,0,0,5.101,0
2015-01-08 20:00,2015-01-08 20:00,0,0,0,5.164,0
2015-01-08 21:00,2015-01-08 21:00,0,0,0,5.222,0
2015-01-08 22:00,2015-01-08 22:00,0,0,0,5.325,0
2015-01-08 23:00,2015-01-08 23:00,0,0,0,5.673,0
2015-01-09 00:00,2015-01-09 00:00,0,0,0,6.488,0
