# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.897, -2.050 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.8971", "lon": "-2.0501", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2015-01-01 00:00,2015-01-01 00:00,0,0,0,6.665
2015-01-01 01:00,2015-01-01 01:00,0,0,0,6.617
2015-01-01 02:00,2015-01-01 02:00,0,0,0,6.886
2015-01-01 03:00,2015-01-01 03:00,0,0,0,7.357
2015-01-01 04:00,2015-01-01 04:00,0,0,0,7.742
2015-01-01 05:00,2015-01-01 05:00,0,0,0,8.001
2015-01-01 06:00,2015-01-01 06:00,0,0,0,8.158
2015-01-01 07:00,2015-01-01 07:00,0,0,0,8.426
2015-01-01 08:00,2015-01-01 08:00,0,0,0.002,8.738
2015-01-01 09:00,2015-01-01 09:00,0.010,0.001,0.020,9.107
2015-01-01 10:00,2015-01-01 10:00,0.025,0.002,0.038,9.536
2015-01-01 11:00,2015-01-01 11:00,0.033,0.003,0.047,9.903
2015-01-01 12:00,2015-01-01 12:00,0.026,0.002,0.040,10.097
2015-01-01 13:00,2015-01-01 13:00,0.026,0.002,0.040,10.303
2015-01-01 14:00,2015-01-01 14:00,0.032,0.006,0.043,10.534
2015-01-01 15:00,2015-01-01 15:00,0.004,0.002,0.011,10.537
2015-01-01 16:00,2015-01-01 16:00,0,0,0,10.506
2015-01-01 17:00,2015-01-01 17:00,0,0,0,10.586
2015-01-01 18:00,2015-01-01 18:00,0,0,0,10.730
2015-01-01 19:00,2015-01-01 19:00,0,0,0,10.876
2015-01-01 20:00,2015-01-01 20:00,0,0,0,10.993
2015-01-01 21:00,2015-01-01 21:00,0,0,0,11.194
2015-01-01 22:00,2015-01-01 22:00,0,0,0,11.470
2015-01-01 23:00,2015-01-01 23:00,0,0,0,11.704
2015-01-02 00:00,2015-01-02 00:00,0,0,0,11.781
2015-01-02 01:00,2015-01-02 01:00,0,0,0,11.218
2015-01-02 02:00,2015-01-02 02:00,0,0,0,9.534
2015-01-02 03:00,2015-01-02 03:00,0,0,0,7.986
2015-01-02 04:00,2015-01-02 04:00,0,0,0,7.105
2015-01-02 05:00,2015-01-02 05:00,0,0,0,6.310
2015-01-02 06:00,2015-01-02 06:00,0,0,0,5.667
2015-01-02 07:00,2015-01-02 07:00,0,0,0,5.153
2015-01-02 08:00,2015-01-02 08:00,0.013,0.015,0.010,4.686
2015-01-02 09:00,2015-01-02 09:00,0.200,0.172,0.052,5.106
2015-01-02 10:00,2015-01-02 10:00,0.365,0.334,0.069,6.055
2015-01-02 11:00,2015-01-02 11:00,0.464,0.446,0.073,6.978
2015-01-02 12:00,2015-01-02 12:00,0.494,0.486,0.070,7.367
2015-01-02 13:00,2015-01-02 13:00,0.434,0.419,0.065,7.113
2015-01-02 14:00,2015-01-02 14:00,0.279,0.254,0.055,6.386
2015-01-02 15:00,2015-01-02 15:00,0.049,0.044,0.022,4.544
2015-01-02 16:00,2015-01-02 16:00,0,0,0,2.690
2015-01-02 17:00,2015-01-02 17:00,0,0,0,2.774
2015-01-02 18:00,2015-01-02 18:00,0,0,0,2.980
2015-01-02 19:00,2015-01-02 19:00,0,0,0,1.999
2015-01-02 20:00,2015-01-02 20:00,0,0,0,1.765
2015-01-02 21:00,2015-01-02 21:00,0,0,0,2.651
2015-01-02 22:00,2015-01-02 22:00,0,0,0,2.848
2015-01-02 23:00,2015-01-02 23:00,0,0,0,2.907
2015-01-03 00:00,2015-01-03 00:00,0,0,0,2.572
2015-01-03 01:00,2015-01-03 01:00,0,0,0,2.746
2015-01-03 02:00,2015-01-03 02:00,0,0,0,2.881
2015-01-03 03:00,2015-01-03 03:00,0,0,0,2.846
2015-01-03 04:00,2015-01-03 04:00,0,0,0,2.864
2015-01-03 05:00,2015-01-03 05:00,0,0,0,2.918
2015-01-03 06:00,2015-01-03 06:00,0,0,0,2.511
2015-01-03 07:00,2015-01-03 07:00,0,0,0,2.415
2015-01-03 08:00,2015-01-03 08:00,0,0,0.002,2.687
2015-01-03 09:00,2015-01-03 09:00,0.005,0.001,0.014,3.298
2015-01-03 10:00,2015-01-03 10:00,0.015,0.001,0.026,4.202
2015-01-03 11:00,2015-01-03 11:00,0.019,0.001,0.032,4.918
2015-01-03 12:00,2015-01-03 12:00,0.024,0.002,0.037,5.180
2015-01-03 13:00,2015-01-03 13:00,0.012,0.001,0.022,4.707
2015-01-03 14:00,2015-01-03 14:00,0.008,0.001,0.018,3.595
2015-01-03 15:00,2015-01-03 15:00,0.008,0.003,0.015,2.410
2015-01-03 16:00,2015-01-03 16:00,0,0,0,1.417
2015-01-03 17:00,2015-01-03 17:00,0,0,0,1.222
2015-01-03 18:00,2015-01-03 18:00,0,0,0,1.307
2015-01-03 19:00,2015-01-03 19:00,0,0,0,1.366
2015-01-03 20:00,2015-01-03 20:00,0,0,0,1.454
2015-01-03 21:00,2015-01-03 21:00,0,0,0,1.503
2015-01-03 22:00,2015-01-03 22:00,0,0,0,1.476
2015-01-03 23:00,2015-01-03 23:00,0,0,0,1.342
2015-01-04 00:00,2015-01-04 00:00,0,0,0,0.962
2015-01-04 01:00,2015-01-04 01:00,0,0,0,0.631
2015-01-04 02:00,2015-01-04 02:00,0,0,0,0.404
2015-01-04 03:00,2015-01-04 03:00,0,0,0,0.166
2015-01-04 04:00,2015-01-04 04:00,0,0,0,0.096
2015-01-04 05:00,2015-01-04 05:00,0,0,0,0.186
2015-01-04 06:00,2015-01-04 06:00,0,0,0,0.106
2015-01-04 07:00,2015-01-04 07:00,0,0,0,-0.036
2015-01-04 08:00,2015-01-04 08:00,0.005,0.005,0.009,-0.061
2015-01-04 09:00,2015-01-04 09:00,0.065,0.030,0.051,0.250
2015-01-04 10:00,2015-01-04 10:00,0.159,0.085,0.093,0.569
