# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 6.523, -2.050 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Africa/Accra, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Africa/Accra", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "6.5228", "lon": "-2.0501", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,22.014
2019-01-01 01:00,2019-01-01 01:00,0,0,0,21.387
2019-01-01 02:00,2019-01-01 02:00,0,0,0,20.650
2019-01-01 03:00,2019-01-01 03:00,0,0,0,19.995
2019-01-01 04:00,2019-01-01 04:00,0,0,0,19.365
2019-01-01 05:00,2019-01-01 05:00,0,0,0,18.816
2019-01-01 06:00,2019-01-01 06:00,0.011,0.007,0.017,18.685
2019-01-01 07:00,2019-01-01 07:00,0.156,0.080,0.110,20.234
2019-01-01 08:00,2019-01-01 08:00,0.366,0.268,0.171,22.537
2019-01-01 09:00,2019-01-01 09:00,0.533,0.481,0.186,26.012
2019-01-01 10:00,2019-01-01 10:00,0.634,0.634,0.192,28.786
2019-01-01 11:00,2019-01-01 11:00,0.684,0.719,0.196,30.705
2019-01-01 12:00,2019-01-01 12:00,0.665,0.678,0.212,31.750
2019-01-01 13:00,2019-01-01 13:00,0.625,0.620,0.209,32.286
2019-01-01 14:00,2019-01-01 14:00,0.537,0.497,0.200,32.325
2019-01-01 15:00,2019-01-01 15:00,0.391,0.307,0.185,31.864
2019-01-01 16:00,2019-01-01 16:00,0.200,0.115,0.137,30.794
2019-01-01 17:00,2019-01-01 17:00,0.036,0.020,0.038,27.370
2019-01-01 18:00,2019-01-01 18:00,0,0,0,25.008
2019-01-01 19:00,2019-01-01 19:00,0,0,0,24.119
